PulseResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Px [uC/cm2]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Rav [Ohm]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Write Pulse Time [s]	Write Pulse Rise Time [s]	Write Pulse Amplitude [V]	Pund Frequency [Hz]	Pund Amplitude [V]	Write Pulse Delay [s]	Pulse Points []	Read Pulse Delay [s]	Number of pulses []	Current Range []	
1.000000e+000	9.596670e-001	-1.966030e+000	-8.251400e+001	9.667890e+001	-8.616620e+001	9.245780e+001	-7.389290e+001	2.558050e+002	8.945420e+001	1.663510e+002	5.854210e+002	3.565640e+005	0.000000e+000	2.999870e+000	-2.956390e+000	1.819120e+002	-1.819120e+002	2.195910e-004	-2.077160e-004	1.000000e-003	1.000000e-003	3.000000e+000	2.500000e+003	3.000000e+000	1.990000e-001	4.010000e+002	1.000000e-003	5.000000e+000	5.000000e+000	

Pulse
Program: aixPlorer Software version 3.0.64.0
TimeStamp: 06/09/2025 18:39:37
TfaModule: PM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU1012-1
TfaVersion: 4.4.0

Table 1
Timestamp: 06/09/2025 18:39:37
TableVersion: 4.4.0
Number of pulses: 5
Pulse Sequence: 0XUNDP-
Pulse Points: 401
Monitoring: YES
SampleName: 123
Area [mm2]: 0.0025
Thickness [nm]: 9
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Voltage Monitor Range: passive monitor
Pund Frequency [Hz]: 2500
Pund Amplitude [V]: 3
Write Pulse Time [s]: 0.001
Write Pulse Rise Time [s]: 0.001
Write Pulse Amplitude [V]: 3
Waveform: 0
Read Pulse Delay [s]: 0.001
Write Pulse Delay [s]: 0.199
Settings: OM MON
Pvmax+ [uC/cm2]: 181.912
Pvmax- [uC/cm2]: -181.912
Pr+ [uC/cm2]: 96.6789
Pr- [uC/cm2]: -86.1662
Prrel+ [uC/cm2]: 92.4578
Prrel- [uC/cm2]: -73.8929
Px [uC/cm2]: -82.514
Pnsw [uC/cm2]: 89.4542
Psw [uC/cm2]: 255.805
dPsw [uC/cm2]: 166.351
Vc+ [V]: 0.959667
Vc- [V]: -1.96603
Rav [Ohm]: 356564
Wloss [uJ/cm2]: 585.421
Vmax+ [V]: 2.99987
Vmax- [V]: -2.95639
Ipk+ [A]: 0.000219591
Ipk- [A]: -0.000207716
Basic System: TFAnalyzer 3000
Measure Head: FE 929-2HSIN
MeasureHal Profile: default
Program Version: 3.0.64.0
Operator: Unknown
HV Amplifier: FE-Head (Monitored)
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	
0.000000e+000	2.753509e-002	5.267810e-006	-8.251398e+001	1.200000e-003	2.227129e-002	1.512064e-006	9.245775e+001	2.400000e-003	2.276733e-002	-1.359806e-006	9.245775e+001	3.600000e-003	2.351857e-002	-3.119702e-007	-7.389293e+001	4.800000e-003	2.278560e-002	8.066361e-007	-7.653643e+001	
7.481359e-007	4.853470e-002	1.391590e-005	-8.222694e+001	1.200748e-003	2.563616e-002	5.775285e-006	9.256679e+001	2.400748e-003	1.584445e-002	-7.898212e-006	9.231923e+001	3.600748e-003	1.779128e-002	-4.002239e-006	-7.395748e+001	4.800748e-003	2.908473e-002	4.766763e-006	-7.645304e+001	
1.496272e-006	6.992426e-002	1.743520e-005	-8.175784e+001	1.201496e-003	4.573789e-002	1.195034e-005	9.283202e+001	2.401496e-003	-3.511974e-003	-1.608543e-005	9.196037e+001	3.601496e-003	-3.651472e-003	-1.575430e-005	-7.425309e+001	4.801496e-003	4.856573e-002	1.544815e-005	-7.615057e+001	
2.244408e-006	9.327979e-002	1.974649e-005	-8.120150e+001	1.202244e-003	6.897122e-002	1.618742e-005	9.325303e+001	2.402244e-003	-2.528046e-002	-1.697248e-005	9.146573e+001	3.602244e-003	-2.383354e-002	-1.920719e-005	-7.477621e+001	4.802244e-003	7.016682e-002	2.166978e-005	-7.559519e+001	
2.992544e-006	1.133937e-001	1.978581e-005	-8.060999e+001	1.202993e-003	9.235670e-002	1.645074e-005	9.374139e+001	2.402993e-003	-4.842707e-002	-1.816962e-005	9.093991e+001	3.602993e-003	-4.577950e-002	-1.934768e-005	-7.535310e+001	4.802993e-003	9.270742e-002	1.748779e-005	-7.500928e+001	
3.740680e-006	1.353890e-001	1.920984e-005	-8.002651e+001	1.203741e-003	1.132060e-001	1.680144e-005	9.423893e+001	2.403741e-003	-7.125898e-002	-1.892593e-005	9.038486e+001	3.603741e-003	-6.996272e-002	-1.612534e-005	-7.588387e+001	4.803741e-003	1.153976e-001	2.181886e-005	-7.442115e+001	
4.488815e-006	1.590420e-001	2.239991e-005	-7.940391e+001	1.204489e-003	1.356437e-001	1.867219e-005	9.476971e+001	2.404489e-003	-9.320840e-002	-1.772584e-005	8.983645e+001	3.604489e-003	-9.253109e-002	-2.461201e-005	-7.649341e+001	4.804489e-003	1.363755e-001	2.691168e-005	-7.369201e+001	
5.236951e-006	1.811967e-001	2.306394e-005	-7.872365e+001	1.205237e-003	1.589338e-001	1.858393e-005	9.532717e+001	2.405237e-003	-1.153733e-001	-1.903159e-005	8.928646e+001	3.605237e-003	-1.141338e-001	-1.967473e-005	-7.715606e+001	4.805237e-003	1.587589e-001	1.869162e-005	-7.300966e+001	
5.985087e-006	2.026039e-001	2.421450e-005	-7.801623e+001	1.205985e-003	1.817107e-001	2.174703e-005	9.593063e+001	2.405985e-003	-1.371524e-001	-2.113128e-005	8.868551e+001	3.605985e-003	-1.382155e-001	-1.815602e-005	-7.772211e+001	4.805985e-003	1.805950e-001	2.563806e-005	-7.234636e+001	
6.733223e-006	2.256083e-001	2.433748e-005	-7.728976e+001	1.206733e-003	2.016930e-001	1.925634e-005	9.654415e+001	2.406733e-003	-1.599018e-001	-1.895326e-005	8.808574e+001	3.606733e-003	-1.597303e-001	-2.334253e-005	-7.834304e+001	4.806733e-003	2.036681e-001	2.283571e-005	-7.162107e+001	
